team_rankings_team_short,team_rankings_team_long,espn_team_slug,espn_team_id,espn_team_name
Elon,elon-university-phoenix,elon-phoenix,2210,Elon Phoenix
Evansville,evansville-purple-aces,evansville-purple-aces,339,Evansville Purple Aces
F Dickinson,fairleigh-dickinson-knights,fairleigh-dickinson-knights,161,Fairleigh Dickinson Knights
Fairfield,fairfield-stags,fairfield-stags,2217,Fairfield Stags
Florida Atlantic,florida-atlantic-owls,florida-atlantic-owls,2226,Florida Atlantic Owls
FGCU,florida-gulf-coast-eagles,florida-gulf-coast-eagles,526,Florida Gulf Coast Eagles
Florida,florida-gators,florida-gators,57,Florida Gators
Florida A&M,florida-am-rattlers,florida-am-rattlers,50,Florida Am Rattlers
Florida Intl,florida-international-panthers,florida-international-panthers,2229,Florida International Panthers
Florida St,florida-state-seminoles,florida-state-seminoles,52,Florida State Seminoles
Fordham,fordham-rams,fordham-rams,2230,Fordham Rams
Fresno St,fresno-st-bulldogs,fresno-state-bulldogs,278,Fresno State Bulldogs
Furman,furman-paladins,furman-paladins,231,Furman Paladins
Georgia So,georgia-southern-eagles,georgia-southern-eagles,290,Georgia Southern Eagles
Georgia Tech,georgia-tech-yellow-jackets,georgia-tech-yellow-jackets,59,Georgia Tech Yellow Jackets
Gardner-Webb,gardner-webb-runnin-bulldogs,gardner-webb-runnin-bulldogs,2241,Gardner Webb Runnin Bulldogs
George Mason,george-mason-patriots,george-mason-patriots,2244,George Mason Patriots
G Washington,george-washington-revolutionaries,george-washington-revolutionaries,45,George Washington Revolutionaries
Georgetown,georgetown-hoyas,georgetown-hoyas,46,Georgetown Hoyas
Georgia,georgia-bulldogs,georgia-bulldogs,61,Georgia Bulldogs
Georgia St,georgia-st-panthers,georgia-state-panthers,2247,Georgia State Panthers
Gonzaga,gonzaga-bulldogs,gonzaga-bulldogs,2250,Gonzaga Bulldogs
Grambling St,grambling-state-tigers,grambling-tigers,2755,Grambling Tigers
Grand Canyon,grand-canyon-lopes,grand-canyon-lopes,2253,Grand Canyon Lopes
Hampton,hampton-pirates,hampton-pirates,2261,Hampton Pirates
Hawai'i,hawaii-rainbow-warriors,hawaii-rainbow-warriors,62,Hawaii Rainbow Warriors
High Point,high-point-panthers,high-point-panthers,2272,High Point Panthers
Hofstra,hofstra-pride,hofstra-pride,2275,Hofstra Pride
Holy Cross,holy-cross-crusaders,holy-cross-crusaders,107,Holy Cross Crusaders
Houston,houston-cougars,houston-cougars,248,Houston Cougars
Howard,howard-bison,howard-bison,47,Howard Bison
Idaho,idaho-vandals,idaho-vandals,70,Idaho Vandals
Idaho St,idaho-state-bengals,idaho-state-bengals,304,Idaho State Bengals
Illinois Chicago,illinois-chicago-flames,uic-flames,82,Uic Flames
Illinois,illinois-fighting-illini,illinois-fighting-illini,356,Illinois Fighting Illini
Illinois St,illinois-st-redbirds,illinois-state-redbirds,2287,Illinois State Redbirds
Incarnate Word,incarnate-word-cardinals,incarnate-word-cardinals,2916,Incarnate Word Cardinals
Indiana,indiana-hoosiers,indiana-hoosiers,84,Indiana Hoosiers
Indiana St,indiana-st-sycamores,indiana-state-sycamores,282,Indiana State Sycamores
Iona,iona-gaels,iona-gaels,314,Iona Gaels
Iowa,iowa-hawkeyes,iowa-hawkeyes,2294,Iowa Hawkeyes
Iowa State,iowa-state-cyclones,iowa-state-cyclones,66,Iowa State Cyclones
Iowa St,iowa-state-cyclones,iowa-state-cyclones,66,Iowa State Cyclones
Purdue FW,purdue-fort-wayne-mastodons,purdue-fort-wayne-mastodons,2870,Purdue Fort Wayne Mastodons
IU Indy,iu-indy-jaguars,iu-indianapolis-jaguars,85,Iu Indianapolis Jaguars
Jackson St,jackson-state-tigers,jackson-state-tigers,2296,Jackson State Tigers
Jacksonville,jacksonville-dolphins,jacksonville-dolphins,294,Jacksonville Dolphins
J Madison,james-madison-dukes,james-madison-dukes,256,James Madison Dukes
Jksnville St,jacksonville-st-gamecocks,jacksonville-state-gamecocks,55,Jacksonville State Gamecocks
Kansas,kansas-jayhawks,kansas-jayhawks,2305,Kansas Jayhawks
Kansas St,kansas-state-wildcats,kansas-state-wildcats,2306,Kansas State Wildcats
Kennesaw St,kennesaw-st-owls,kennesaw-state-owls,338,Kennesaw State Owls
Kent State,kent-st-golden-flashes,kent-state-golden-flashes,2309,Kent State Golden Flashes
Kentucky,kentucky-wildcats,kentucky-wildcats,96,Kentucky Wildcats
LA Lafayette,ul-lafayette-ragin-cajuns,louisiana-ragin-cajuns,309,Louisiana Ragin Cajuns
UL Monroe,ul-monroe-warhawks,ul-monroe-warhawks,2433,Ul Monroe Warhawks
La Salle,la-salle-explorers,la-salle-explorers,2325,La Salle Explorers
Louisiana Tech,louisiana-tech-bulldogs,louisiana-tech-bulldogs,2348,Louisiana Tech Bulldogs
Lafayette,lafayette-leopards,lafayette-leopards,322,Lafayette Leopards
Lamar,lamar-cardinals,lamar-cardinals,2320,Lamar Cardinals
Lehigh,lehigh-mountain-hawks,lehigh-mountain-hawks,2329,Lehigh Mountain Hawks
Le Moyne,le-moyne-dolphins,le-moyne-dolphins,2330,Le Moyne Dolphins
Lg Beach St,long-beach-st-beach,long-beach-state-beach,299,Long Beach State Beach
Liberty,liberty-flames,liberty-flames,2335,Liberty Flames
Lipscomb,lipscomb-bisons,lipscomb-bisons,288,Lipscomb Bisons
LIU,liu-sharks,long-island-university-sharks,112358,Long Island University Sharks
Longwood,longwood-lancers,longwood-lancers,2344,Longwood Lancers
Louisville,louisville-cardinals,louisville-cardinals,97,Louisville Cardinals
Loyola Mymt,loyola-marymount-lions,loyola-marymount-lions,2351,Loyola Marymount Lions
Loyola Chi,loyola-chicago-ramblers,loyola-chicago-ramblers,2350,Loyola Chicago Ramblers
Loyola-MD,loyola-md-greyhounds,loyola-maryland-greyhounds,2352,Loyola Maryland Greyhounds
LSU,louisiana-state-tigers,lsu-tigers,99,Lsu Tigers
Maine,maine-black-bears,maine-black-bears,311,Maine Black Bears
Manhattan,manhattan-jaspers,manhattan-jaspers,2363,Manhattan Jaspers
